# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m,analog_0,analog_1,analog_2,analog_3
0.00,24.00,1039.70,25.81,0.26,-217.79,766,281,297,156
1.36,23.99,1039.80,25.81,0.27,-218.61,765,266,226,101
2.44,24.00,1039.60,25.80,0.26,-216.98,768,278,225,143
3.51,24.00,1039.60,25.80,0.26,-216.98,764,283,287,153
4.59,24.00,1039.50,25.80,0.26,-216.17,763,275,286,158
5.67,24.00,1039.90,25.80,0.27,-219.42,767,272,293,151
6.75,24.01,1039.60,25.80,0.26,-216.98,765,268,292,109
7.83,24.01,1039.70,25.79,0.26,-217.79,765,266,279,155
8.90,24.02,1039.70,25.79,0.26,-217.79,789,268,293,153
9.98,24.02,1039.50,25.79,0.26,-216.17,785,277,283,155
11.06,24.02,1039.60,25.78,0.26,-216.98,775,276,282,109
12.14,24.02,1039.70,25.78,0.26,-217.79,787,268,294,157
13.22,24.01,1039.30,25.77,0.26,-214.54,767,276,293,155
14.30,24.01,1039.50,25.77,0.26,-216.17,784,282,298,159
15.38,24.00,1039.50,25.77,0.26,-216.17,770,282,295,149
16.45,24.00,1039.80,25.76,0.27,-218.61,767,275,292,156
17.53,24.00,1039.40,25.75,0.26,-215.35,765,268,297,157
18.61,23.99,1039.10,25.75,0.26,-212.90,764,282,299,150
19.69,23.99,1039.70,25.74,0.26,-217.79,765,276,293,153
20.77,23.98,1039.40,25.74,0.26,-215.35,767,275,282,160
21.85,23.98,1039.50,25.73,0.26,-216.17,785,277,287,154
22.92,23.98,1039.00,25.73,0.26,-212.09,766,284,297,155
24.00,23.98,1039.60,25.72,0.26,-216.98,765,268,292,148
25.08,23.97,1039.50,25.72,0.26,-216.17,775,277,284,161
26.16,23.97,1039.50,25.71,0.26,-216.17,764,287,287,156
27.24,23.97,1039.80,25.71,0.27,-218.61,768,278,292,148
28.31,23.96,1038.80,25.71,0.26,-210.46,772,278,294,159
29.40,23.95,1039.40,25.70,0.26,-215.35,767,273,289,152
30.47,23.95,1039.50,25.70,0.26,-216.17,767,268,297,152
31.55,23.94,1039.90,25.69,0.27,-219.42,765,276,294,110
32.63,23.94,1039.80,25.68,0.27,-218.61,764,288,297,157
33.71,23.94,1040.00,25.68,0.27,-220.24,767,275,290,160
34.78,23.94,1040.00,25.67,0.27,-220.24,767,271,285,155
35.86,23.94,1040.10,25.67,0.27,-221.05,766,263,290,110
36.94,23.94,1040.00,25.66,0.27,-220.24,765,275,285,151
38.03,23.94,1040.10,25.66,0.27,-221.05,767,270,294,148
39.12,23.94,1039.70,25.65,0.26,-217.79,764,280,285,148
40.19,23.94,1039.90,25.65,0.27,-219.42,766,285,290,109
41.27,23.94,1039.70,25.64,0.26,-217.79,766,279,287,149
42.35,23.94,1039.70,25.63,0.26,-217.79,767,273,293,156
43.43,23.95,1039.80,25.63,0.27,-218.61,786,277,291,157
44.51,23.95,1039.90,25.63,0.27,-219.42,765,265,290,147
45.58,23.95,1039.40,25.63,0.26,-215.35,763,278,295,152
46.66,23.95,1040.00,25.62,0.27,-220.24,763,280,294,159
47.74,23.96,1040.10,25.62,0.27,-221.05,771,273,288,161
48.82,23.97,1040.20,25.62,0.27,-221.87,771,266,293,150
49.90,23.96,1039.30,25.61,0.26,-214.54,764,267,286,108
50.98,23.96,1039.80,25.61,0.27,-218.61,768,277,291,156
52.06,23.96,1039.70,25.61,0.26,-217.79,766,282,299,150
53.13,23.96,1039.10,25.60,0.26,-212.90,773,273,287,155
54.21,23.96,1039.90,25.60,0.27,-219.42,785,274,294,161
55.29,23.95,1039.00,25.60,0.26,-212.09,767,269,287,149
56.37,23.90,1039.40,25.59,0.26,-215.35,767,268,295,153
57.44,23.87,1039.70,25.59,0.26,-217.79,767,272,297,152
