# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m
0.00,24.52,1039.40,25.00,0.26,-215.35
1.28,24.52,1039.10,25.01,0.26,-212.90
2.35,24.53,1039.10,25.01,0.26,-212.90
3.43,24.53,1039.00,25.01,0.26,-212.09
4.50,24.54,1038.60,25.01,0.25,-208.83
5.58,24.54,1038.80,25.02,0.26,-210.46
6.65,24.55,1039.00,25.01,0.26,-212.09
7.73,24.55,1039.40,25.02,0.26,-215.35
8.80,24.56,1039.50,25.02,0.26,-216.17
18.37,24.56,1039.10,25.02,0.26,-212.90
19.45,24.56,1039.20,25.02,0.26,-213.72
20.52,24.56,1039.40,25.03,0.26,-215.35
21.60,24.56,1038.90,25.02,0.26,-211.27
22.68,24.57,1039.20,25.03,0.26,-213.72
32.25,24.57,1039.20,25.03,0.26,-213.72
33.32,24.57,1039.20,25.03,0.26,-213.72
34.40,24.57,1039.30,25.03,0.26,-214.54
35.47,24.58,1039.70,25.03,0.26,-217.79
36.55,24.58,1038.90,25.04,0.26,-211.27
37.62,24.58,1039.00,25.04,0.26,-212.09
38.70,24.59,1039.60,25.04,0.26,-216.98
39.77,24.59,1039.00,25.04,0.26,-212.09
40.85,24.60,1039.20,25.04,0.26,-213.72
41.92,24.60,1039.40,25.04,0.26,-215.35
43.00,24.60,1038.80,25.05,0.26,-210.46
44.07,24.60,1039.60,25.05,0.26,-216.98
45.15,24.61,1039.30,25.05,0.26,-214.54
46.23,24.61,1039.60,25.05,0.26,-216.98
47.30,24.61,1039.60,25.05,0.26,-216.98
48.38,24.61,1038.60,25.05,0.25,-208.83
49.45,24.61,1039.10,25.06,0.26,-212.90
50.53,24.61,1039.20,25.06,0.26,-213.72
51.60,24.60,1039.00,25.06,0.26,-212.09
52.68,24.60,1040.10,25.06,0.27,-221.05
53.75,24.60,1039.60,25.06,0.26,-216.98
54.83,24.60,1038.90,25.06,0.26,-211.27
55.90,24.60,1039.00,25.06,0.26,-212.09
56.98,24.60,1039.20,25.06,0.26,-213.72
58.06,24.60,1039.20,25.06,0.26,-213.72
59.13,24.60,1039.30,25.06,0.26,-214.54
60.21,24.60,1039.60,25.07,0.26,-216.98
61.28,24.60,1039.00,25.06,0.26,-212.09
62.35,24.59,1039.10,25.06,0.26,-212.90
63.43,24.60,1039.20,25.06,0.26,-213.72
64.50,24.60,1039.40,25.07,0.26,-215.35
65.58,24.60,1039.20,25.06,0.26,-213.72
66.65,24.60,1039.30,25.07,0.26,-214.54
67.73,24.60,1039.60,25.07,0.26,-216.98
68.81,24.60,1039.40,25.07,0.26,-215.35
69.88,24.60,1039.70,25.07,0.26,-217.79
70.96,24.60,1039.30,25.07,0.26,-214.54
72.03,24.61,1039.50,25.06,0.26,-216.17
73.11,24.61,1039.70,25.07,0.26,-217.79
74.18,24.61,1038.90,25.07,0.26,-211.27
75.26,24.61,1039.30,25.07,0.26,-214.54
76.34,24.62,1038.80,25.07,0.26,-210.46
77.43,24.62,1039.00,25.07,0.26,-212.09
78.50,24.62,1039.30,25.07,0.26,-214.54
79.58,24.63,1039.10,25.07,0.26,-212.90
80.65,24.63,1039.60,25.07,0.26,-216.98
81.73,24.63,1039.40,25.07,0.26,-215.35
82.80,24.63,1039.10,25.07,0.26,-212.90
83.88,24.63,1039.00,25.07,0.26,-212.09
84.95,24.63,1039.20,25.08,0.26,-213.72
86.03,24.64,1039.80,25.07,0.27,-218.61
87.11,24.64,1039.10,25.07,0.26,-212.90
88.18,24.65,1039.50,25.08,0.26,-216.17
89.25,24.65,1039.20,25.08,0.26,-213.72
90.33,24.65,1038.80,25.08,0.26,-210.46
91.40,24.65,1038.80,25.08,0.26,-210.46
92.48,24.66,1039.30,25.08,0.26,-214.54
93.56,24.66,1039.80,25.08,0.27,-218.61
94.63,24.66,1038.80,25.09,0.26,-210.46
95.71,24.66,1039.70,25.09,0.26,-217.79
96.78,24.67,1039.20,25.09,0.26,-213.72
97.86,24.67,1039.60,25.09,0.26,-216.98
98.93,24.67,1039.70,25.09,0.26,-217.79
100.01,24.67,1038.90,25.09,0.26,-211.27
101.08,24.67,1038.70,25.09,0.25,-209.64
102.16,24.67,1038.90,25.09,0.26,-211.27
103.23,24.67,1039.20,25.09,0.26,-213.72
104.31,24.68,1040.00,25.09,0.27,-220.24
105.38,24.66,1039.10,25.09,0.26,-212.90
107.06,24.66,1039.50,25.10,0.26,-216.17
108.14,24.64,1039.50,25.10,0.26,-216.17
109.21,24.63,1039.50,25.10,0.26,-216.17
110.29,24.63,1039.00,25.10,0.26,-212.09
111.36,24.61,1039.30,25.10,0.26,-214.54
112.44,24.58,1039.10,25.10,0.26,-212.90
113.52,24.57,1039.30,25.10,0.26,-214.54
114.59,24.56,1038.90,25.10,0.26,-211.27
115.67,24.54,1039.50,25.10,0.26,-216.17
116.74,24.53,1039.60,25.10,0.26,-216.98
117.82,24.52,1039.70,25.10,0.26,-217.79
118.89,24.52,1039.30,25.10,0.26,-214.54
119.97,24.51,1039.50,25.09,0.26,-216.17
121.04,24.52,1039.70,25.09,0.26,-217.79
122.12,24.51,1039.30,25.09,0.26,-214.54
123.19,24.51,1039.30,25.09,0.26,-214.54
124.27,24.51,1039.50,25.09,0.26,-216.17
125.34,24.51,1039.00,25.09,0.26,-212.09
126.42,24.51,1038.80,25.09,0.26,-210.46
127.50,24.51,1039.70,25.09,0.26,-217.79
128.57,24.50,1039.30,25.09,0.26,-214.54
129.65,24.50,1039.60,25.09,0.26,-216.98
130.72,24.50,1039.70,25.08,0.26,-217.79
131.79,24.50,1039.80,25.09,0.27,-218.61
132.87,24.54,1039.10,25.07,0.26,-212.90
142.45,24.54,1039.20,25.08,0.26,-213.72
143.53,24.54,1039.10,25.07,0.26,-212.90
144.60,24.55,1039.50,25.08,0.26,-216.17
145.68,24.55,1039.20,25.08,0.26,-213.72
146.75,24.56,1039.00,25.08,0.26,-212.09
147.83,24.57,1039.30,25.08,0.26,-214.54
148.90,24.57,1039.30,25.08,0.26,-214.54
149.98,24.57,1039.30,25.08,0.26,-214.54
151.06,24.57,1039.40,25.08,0.26,-215.35
152.15,24.57,1039.30,25.08,0.26,-214.54
153.22,24.57,1039.30,25.08,0.26,-214.54
154.29,24.57,1039.50,25.08,0.26,-216.17
155.37,24.58,1039.90,25.08,0.27,-219.42
156.45,24.58,1039.60,25.08,0.26,-216.98
157.52,24.59,1039.30,25.08,0.26,-214.54
158.60,24.59,1039.90,25.08,0.27,-219.42
159.67,24.60,1039.40,25.08,0.26,-215.35
160.74,24.60,1039.80,25.08,0.27,-218.61
161.82,24.61,1039.50,25.09,0.26,-216.17
162.90,24.61,1039.40,25.09,0.26,-215.35
163.97,24.61,1038.90,25.08,0.26,-211.27
165.05,24.61,1039.30,25.09,0.26,-214.54
166.12,24.62,1039.70,25.09,0.26,-217.79
167.20,24.63,1039.40,25.09,0.26,-215.35
168.27,24.63,1039.30,25.09,0.26,-214.54
169.35,24.63,1039.50,25.09,0.26,-216.17
170.42,24.63,1039.30,25.09,0.26,-214.54
171.50,24.63,1039.90,25.10,0.27,-219.42
172.57,24.64,1039.60,25.10,0.26,-216.98
173.65,24.63,1039.40,25.10,0.26,-215.35
174.72,24.64,1038.90,25.10,0.26,-211.27
175.80,24.64,1039.80,25.10,0.27,-218.61
176.88,24.64,1038.80,25.10,0.26,-210.46
177.95,24.63,1039.10,25.10,0.26,-212.90
179.03,24.61,1039.90,25.10,0.27,-219.42
180.10,24.59,1038.80,25.10,0.26,-210.46
181.18,24.59,1039.90,25.10,0.27,-219.42
182.25,24.58,1038.90,25.10,0.26,-211.27
183.33,24.57,1039.50,25.10,0.26,-216.17
184.40,24.56,1039.10,25.10,0.26,-212.90
185.48,24.55,1039.20,25.10,0.26,-213.72
186.55,24.55,1039.50,25.10,0.26,-216.17
187.63,24.54,1039.50,25.10,0.26,-216.17
188.70,24.54,1039.00,25.10,0.26,-212.09
189.78,24.53,1039.50,25.10,0.26,-216.17
190.85,24.53,1039.50,25.09,0.26,-216.17
191.93,24.52,1039.10,25.09,0.26,-212.90
193.00,24.51,1039.30,25.09,0.26,-214.54
194.08,24.51,1039.60,25.09,0.26,-216.98
195.15,24.51,1039.40,25.09,0.26,-215.35
196.23,24.51,1039.40,25.09,0.26,-215.35
197.30,24.51,1038.90,25.09,0.26,-211.27
198.38,24.51,1039.80,25.09,0.27,-218.61
199.46,24.51,1039.40,25.08,0.26,-215.35
200.53,24.52,1039.30,25.08,0.26,-214.54
201.60,24.52,1039.60,25.08,0.26,-216.98
202.68,24.52,1039.00,25.08,0.26,-212.09
203.76,24.52,1039.70,25.09,0.26,-217.79
204.83,24.52,1039.20,25.09,0.26,-213.72
205.91,24.52,1039.90,25.08,0.27,-219.42
206.98,24.51,1039.00,25.08,0.26,-212.09
208.06,24.51,1039.30,25.08,0.26,-214.54
209.13,24.50,1039.10,25.08,0.26,-212.90
210.21,24.48,1039.20,25.08,0.26,-213.72
211.28,24.46,1038.90,25.08,0.26,-211.27
212.36,24.45,1039.80,25.07,0.27,-218.61
213.43,24.43,1039.00,25.07,0.26,-212.09
214.51,24.42,1039.20,25.07,0.26,-213.72
215.58,24.42,1039.30,25.07,0.26,-214.54
216.67,24.42,1039.40,25.07,0.26,-215.35
217.75,24.42,1039.40,25.06,0.26,-215.35
218.83,24.42,1039.10,25.06,0.26,-212.90
219.90,24.43,1039.50,25.05,0.26,-216.17
220.98,24.43,1039.60,25.06,0.26,-216.98
222.05,24.44,1039.40,25.05,0.26,-215.35
223.13,24.44,1039.20,25.05,0.26,-213.72
224.20,24.44,1039.50,25.05,0.26,-216.17
225.28,24.44,1039.40,25.05,0.26,-215.35
226.35,24.43,1039.90,25.05,0.27,-219.42
227.43,24.42,1038.60,25.05,0.25,-208.83
228.50,24.42,1039.70,25.04,0.26,-217.79
229.58,24.40,1039.30,25.05,0.26,-214.54
230.65,24.39,1039.20,25.05,0.26,-213.72
231.73,24.39,1039.10,25.04,0.26,-212.90
232.80,24.38,1039.40,25.04,0.26,-215.35
233.88,24.36,1038.80,25.04,0.26,-210.46
234.95,24.35,1039.30,25.04,0.26,-214.54
236.03,24.34,1039.40,25.04,0.26,-215.35
237.10,24.34,1038.90,25.04,0.26,-211.27
238.18,24.34,1039.00,25.04,0.26,-212.09
239.25,24.31,1039.50,25.03,0.26,-216.17
240.33,24.28,1039.40,25.04,0.26,-215.35
241.40,24.23,1039.50,25.03,0.26,-216.17
242.48,24.18,1039.30,25.03,0.26,-214.54
243.56,24.15,1039.40,25.03,0.26,-215.35
244.63,24.12,1039.30,25.03,0.26,-214.54
245.71,24.11,1039.70,25.02,0.26,-217.79
246.78,24.09,1039.30,25.02,0.26,-214.54
247.86,24.08,1038.90,25.02,0.26,-211.27
248.93,24.06,1039.10,25.01,0.26,-212.90
250.01,24.06,1039.60,25.01,0.26,-216.98
251.08,24.05,1039.40,25.01,0.26,-215.35
252.16,24.05,1039.60,25.00,0.26,-216.98
253.23,24.05,1039.70,25.00,0.26,-217.79
254.31,24.05,1039.30,25.00,0.26,-214.54
255.38,24.05,1039.30,25.00,0.26,-214.54
256.46,24.07,1039.20,24.99,0.26,-213.72
257.54,24.07,1039.10,24.99,0.26,-212.90
258.61,24.08,1039.50,24.99,0.26,-216.17
259.68,24.10,1039.40,24.99,0.26,-215.35
260.76,24.10,1039.20,24.98,0.26,-213.72
261.83,24.11,1039.40,24.99,0.26,-215.35
262.91,24.10,1039.30,24.98,0.26,-214.54
263.98,24.10,1038.90,24.98,0.26,-211.27
265.06,24.10,1039.00,24.98,0.26,-212.09
266.14,24.10,1039.50,24.98,0.26,-216.17
267.21,24.10,1039.30,24.98,0.26,-214.54
268.29,24.10,1039.50,24.98,0.26,-216.17
269.36,24.09,1039.70,24.98,0.26,-217.79
270.44,24.08,1039.30,24.98,0.26,-214.54
271.51,24.07,1039.50,24.98,0.26,-216.17
272.59,24.06,1039.50,24.97,0.26,-216.17
273.66,24.05,1039.40,24.97,0.26,-215.35
274.74,24.05,1039.60,24.97,0.26,-216.98
275.81,24.05,1039.20,24.97,0.26,-213.72
276.89,24.05,1039.30,24.96,0.26,-214.54
277.96,24.06,1039.40,24.96,0.26,-215.35
279.04,24.07,1039.30,24.96,0.26,-214.54
280.11,24.07,1039.10,24.96,0.26,-212.90
281.19,24.08,1039.70,24.96,0.26,-217.79
282.26,24.08,1039.10,24.95,0.26,-212.90
283.36,24.07,1039.70,24.95,0.26,-217.79
284.43,24.07,1039.60,24.95,0.26,-216.98
285.51,24.06,1038.90,24.95,0.26,-211.27
286.58,24.06,1039.20,24.94,0.26,-213.72
287.66,24.05,1039.70,24.94,0.26,-217.79
288.73,24.05,1039.30,24.94,0.26,-214.54
289.81,24.04,1039.20,24.94,0.26,-213.72
290.88,24.02,1039.40,24.93,0.26,-215.35
291.96,24.00,1039.80,24.93,0.27,-218.61
293.03,23.99,1039.40,24.93,0.26,-215.35
294.11,23.98,1039.00,24.93,0.26,-212.09
295.18,23.98,1039.00,24.92,0.26,-212.09
296.26,23.98,1039.40,24.92,0.26,-215.35
297.33,23.98,1039.40,24.91,0.26,-215.35
298.41,23.98,1039.40,24.91,0.26,-215.35
299.48,23.98,1039.10,24.90,0.26,-212.90
300.56,23.98,1039.00,24.90,0.26,-212.09
301.63,23.99,1039.60,24.90,0.26,-216.98
302.71,24.00,1038.40,24.90,0.25,-207.20
303.78,24.00,1039.10,24.89,0.26,-212.90
304.86,24.00,1039.70,24.89,0.26,-217.79
305.93,24.01,1039.70,24.89,0.26,-217.79
307.01,24.01,1039.10,24.89,0.26,-212.90
308.08,23.99,1039.40,24.89,0.26,-215.35
309.16,23.99,1039.40,24.88,0.26,-215.35
310.24,23.99,1039.40,24.88,0.26,-215.35
311.31,24.00,1039.30,24.88,0.26,-214.54
312.39,24.00,1039.50,24.87,0.26,-216.17
313.46,24.00,1039.40,24.87,0.26,-215.35
314.54,24.01,1039.40,24.87,0.26,-215.35
