1184,28.73,1039.90,29.33,0.27,-219.42
2261,28.73,1039.50,29.34,0.26,-216.17
3329,28.73,1039.50,29.34,0.26,-216.17
4804,28.73,1040.40,29.34,0.27,-223.50
5872,28.73,1039.80,29.35,0.27,-218.61
6941,28.73,1039.70,29.35,0.26,-217.79
8399,28.73,1040.00,29.35,0.27,-220.24
9470,28.73,1040.10,29.36,0.27,-221.05
10538,28.73,1039.50,29.36,0.26,-216.17
11997,28.73,1039.80,29.36,0.27,-218.61
13458,28.73,1039.90,29.37,0.27,-219.42
14919,28.73,1040.00,29.37,0.27,-220.24
15990,28.73,1040.30,29.37,0.27,-222.68
17449,28.73,1040.20,29.38,0.27,-221.87
18513,28.73,1040.10,29.38,0.27,-221.05
19581,28.73,1040.40,29.38,0.27,-223.50
20649,28.73,1040.10,29.39,0.27,-221.05
21717,28.73,1039.90,29.39,0.27,-219.42
22785,28.73,1039.60,29.39,0.26,-216.98
23854,28.73,1039.60,29.40,0.26,-216.98
24922,28.73,1040.10,29.40,0.27,-221.05
25990,28.73,1039.70,29.40,0.26,-217.79
27058,28.73,1039.70,29.41,0.26,-217.79
28126,28.73,1039.60,29.41,0.26,-216.98
29194,28.73,1039.70,29.41,0.26,-217.79
30262,28.74,1039.70,29.41,0.26,-217.79
31333,28.73,1040.20,29.42,0.27,-221.87
32401,28.74,1040.10,29.42,0.27,-221.05
33469,28.73,1039.70,29.42,0.26,-217.79
34547,28.74,1039.80,29.43,0.27,-218.61
35624,28.74,1040.50,29.43,0.27,-224.31
36693,28.74,1039.90,29.43,0.27,-219.42
37761,28.74,1040.00,29.43,0.27,-220.24
38830,28.74,1039.50,29.44,0.26,-216.17
39898,28.74,1039.40,29.44,0.26,-215.35
40966,28.74,1040.00,29.45,0.27,-220.24
42034,28.74,1039.40,29.45,0.26,-215.35
43103,28.75,1039.80,29.45,0.27,-218.61
44171,28.75,1039.70,29.45,0.26,-217.79
45242,28.75,1040.00,29.45,0.27,-220.24
46310,28.76,1040.00,29.46,0.27,-220.24
47378,28.75,1040.40,29.46,0.27,-223.50
48446,28.75,1039.80,29.47,0.27,-218.61
49514,28.76,1040.00,29.47,0.27,-220.24
50582,28.75,1039.10,29.47,0.26,-212.90
51650,28.76,1040.00,29.48,0.27,-220.24
52718,28.76,1040.00,29.48,0.27,-220.24
53786,28.76,1039.90,29.48,0.27,-219.42
54854,28.76,1039.90,29.49,0.27,-219.42
55922,28.77,1039.80,29.49,0.27,-218.61
56990,28.77,1040.20,29.49,0.27,-221.87
58058,28.77,1040.20,29.49,0.27,-221.87
59129,28.77,1039.90,29.50,0.27,-219.42
60197,28.77,1039.90,29.50,0.27,-219.42
61265,28.77,1039.90,29.50,0.27,-219.42
62333,28.78,1039.90,29.51,0.27,-219.42
63401,28.77,1039.90,29.51,0.27,-219.42
64469,28.78,1040.20,29.52,0.27,-221.87
65538,28.78,1039.50,29.52,0.26,-216.17
66606,28.78,1040.00,29.52,0.27,-220.24
67675,28.78,1039.60,29.53,0.26,-216.98
68743,28.78,1039.60,29.53,0.26,-216.98
69811,28.78,1039.90,29.53,0.27,-219.42
70879,28.78,1040.00,29.54,0.27,-220.24
71947,28.78,1040.00,29.54,0.27,-220.24
73018,28.78,1040.20,29.54,0.27,-221.87
74087,28.78,1039.50,29.55,0.26,-216.17
75155,28.78,1039.70,29.55,0.26,-217.79
76223,28.78,1040.20,29.55,0.27,-221.87
77291,28.78,1039.90,29.56,0.27,-219.42
78359,28.78,1040.40,29.56,0.27,-223.50
79427,28.78,1040.40,29.56,0.27,-223.50
