# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m,analog_0,analog_1,analog_2,analog_3
0.00,23.87,1039.50,24.94,0.26,-216.17,764,280,296,159
1.29,23.88,1039.20,24.94,0.26,-213.72,774,274,277,149
2.37,23.88,1039.50,24.94,0.26,-216.17,767,264,290,155
3.45,23.89,1038.90,24.93,0.26,-211.27,787,275,288,106
4.52,23.90,1039.10,24.93,0.26,-212.90,767,267,282,155
5.60,23.92,1039.20,24.93,0.26,-213.72,769,269,280,106
6.68,23.92,1039.40,24.93,0.26,-215.35,768,276,296,156
7.76,23.94,1039.10,24.93,0.26,-212.90,767,274,226,149
8.84,23.94,1039.30,24.93,0.26,-214.54,765,272,292,155
9.92,23.93,1038.80,24.92,0.26,-210.46,766,278,294,145
10.99,23.91,1039.20,24.92,0.26,-213.72,768,276,291,153
12.07,23.90,1039.10,24.92,0.26,-212.90,785,268,292,156
13.15,23.88,1039.50,24.92,0.26,-216.17,764,274,291,148
14.23,23.88,1039.60,24.92,0.26,-216.98,764,262,289,154
15.31,23.87,1039.60,24.91,0.26,-216.98,771,264,225,140
16.39,23.87,1039.10,24.91,0.26,-212.90,766,258,287,151
17.55,23.86,1039.20,24.91,0.26,-213.72,775,271,286,156
