# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m,analog_0,analog_1,analog_2,analog_3
0.00,23.76,1039.50,24.89,0.26,-216.17,763,278,295,148
1.37,23.73,1039.70,24.88,0.26,-217.79,766,278,230,149
2.45,23.71,1039.70,24.88,0.26,-217.79,767,266,276,156
3.52,23.67,1039.20,24.87,0.26,-213.72,785,267,291,147
4.60,23.65,1039.30,24.87,0.26,-214.54,784,266,276,154
5.68,23.62,1038.80,24.86,0.26,-210.46,766,282,225,140
6.76,23.61,1039.40,24.86,0.26,-215.35,768,279,284,157
7.85,23.59,1039.40,24.85,0.26,-215.35,769,265,284,155
8.93,23.58,1039.00,24.85,0.26,-212.09,765,271,283,152
10.01,23.58,1039.20,24.84,0.26,-213.72,766,275,287,149
11.09,23.58,1039.30,24.84,0.26,-214.54,766,262,293,147
12.17,23.58,1039.10,24.84,0.26,-212.90,765,274,295,152
13.24,23.59,1039.10,24.84,0.26,-212.90,767,267,284,155
14.32,23.59,1039.50,24.83,0.26,-216.17,767,272,293,155
15.40,23.60,1039.30,24.83,0.26,-214.54,767,265,282,157
16.48,23.61,1039.50,24.83,0.26,-216.17,770,261,282,143
17.56,23.62,1039.20,24.82,0.26,-213.72,765,275,285,150
18.63,23.64,1039.30,24.82,0.26,-214.54,763,268,296,157
19.72,23.64,1039.30,24.82,0.26,-214.54,766,282,279,153
20.79,23.65,1039.50,24.81,0.26,-216.17,769,274,293,147
21.87,23.65,1039.60,24.81,0.26,-216.98,786,284,294,106
22.95,23.64,1039.20,24.81,0.26,-213.72,785,268,294,156
24.03,23.61,1039.60,24.80,0.26,-216.98,765,269,279,146
25.10,23.59,1039.20,24.80,0.26,-213.72,766,263,290,157
26.18,23.59,1039.40,24.80,0.26,-215.35,767,270,226,97
27.26,23.59,1039.40,24.79,0.26,-215.35,785,274,295,150
28.34,23.59,1039.10,24.79,0.26,-212.90,763,273,282,156
29.42,23.58,1039.10,24.78,0.26,-212.90,771,273,283,149
30.50,23.56,1039.30,24.78,0.26,-214.54,764,275,282,146
31.58,23.56,1039.50,24.77,0.26,-216.17,785,273,288,154
32.65,23.55,1039.30,24.77,0.26,-214.54,766,277,282,106
33.73,23.55,1039.40,24.76,0.26,-215.35,787,270,292,158
34.81,23.54,1039.50,24.76,0.26,-216.17,765,270,292,159
35.89,23.51,1039.90,24.75,0.27,-219.42,789,268,295,154
36.97,23.49,1039.40,24.75,0.26,-215.35,786,265,288,160
38.04,23.48,1039.70,24.74,0.26,-217.79,768,275,287,150
39.13,23.47,1038.90,24.74,0.26,-211.27,765,271,282,157
40.20,23.47,1039.50,24.73,0.26,-216.17,766,278,294,147
41.28,23.46,1039.80,24.72,0.27,-218.61,765,272,296,158
42.36,23.46,1039.90,24.72,0.27,-219.42,767,269,285,151
43.44,23.46,1038.90,24.72,0.26,-211.27,766,276,281,148
44.51,23.46,1039.30,24.72,0.26,-214.54,766,279,290,106
45.59,23.47,1039.20,24.71,0.26,-213.72,772,277,281,151
