# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m
0.00,24.46,1039.20,24.85,0.26,-213.72
1.29,24.46,1039.50,24.86,0.26,-216.17
2.37,24.46,1039.40,24.86,0.26,-215.35
3.44,24.46,1039.10,24.86,0.26,-212.90
4.52,24.46,1039.20,24.86,0.26,-213.72
5.59,24.47,1038.90,24.86,0.26,-211.27
6.67,24.47,1039.90,24.87,0.27,-219.42
7.74,24.47,1039.20,24.87,0.26,-213.72
8.82,24.47,1039.10,24.87,0.26,-212.90
9.89,24.47,1039.50,24.87,0.26,-216.17
10.97,24.48,1039.10,24.87,0.26,-212.90
12.04,24.48,1039.80,24.88,0.27,-218.61
13.12,24.48,1039.10,24.88,0.26,-212.90
14.19,24.48,1039.60,24.88,0.26,-216.98
15.27,24.48,1039.40,24.88,0.26,-215.35
16.34,24.49,1039.40,24.88,0.26,-215.35
17.42,24.49,1039.30,24.88,0.26,-214.54
18.50,24.49,1039.30,24.88,0.26,-214.54
19.57,24.50,1039.10,24.88,0.26,-212.90
20.65,24.50,1039.10,24.88,0.26,-212.90
21.72,24.50,1039.30,24.89,0.26,-214.54
22.80,24.50,1039.00,24.89,0.26,-212.09
23.87,24.50,1039.90,24.89,0.27,-219.42
24.94,24.51,1039.00,24.89,0.26,-212.09
26.02,24.51,1039.40,24.89,0.26,-215.35
27.09,24.51,1039.40,24.89,0.26,-215.35
28.17,24.51,1039.10,24.89,0.26,-212.90
29.25,24.51,1039.50,24.90,0.26,-216.17
30.32,24.51,1039.40,24.90,0.26,-215.35
31.40,24.51,1039.40,24.90,0.26,-215.35
32.47,24.52,1039.20,24.90,0.26,-213.72
33.55,24.52,1039.00,24.90,0.26,-212.09
34.62,24.52,1039.20,24.90,0.26,-213.72
35.70,24.52,1039.30,24.91,0.26,-214.54
36.77,24.53,1039.10,24.91,0.26,-212.90
37.85,24.53,1039.30,24.91,0.26,-214.54
38.92,24.53,1038.80,24.91,0.26,-210.46
