# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m,analog_0,analog_1,analog_2,analog_3
0.00,21.57,1029.20,22.05,0.16,-131.88,852,287,292,171
1.46,21.58,1028.90,22.06,0.16,-129.41,852,292,242,164
2.54,21.59,1029.60,22.06,0.16,-135.16,852,288,297,167
3.62,21.59,1029.60,22.05,0.16,-135.16,875,281,297,160
4.70,21.61,1029.00,22.05,0.16,-130.24,857,277,292,171
5.77,21.62,1029.20,22.06,0.16,-131.88,851,279,287,161
6.85,21.63,1029.10,22.06,0.16,-131.06,854,289,293,167
7.93,21.64,1029.40,22.06,0.16,-133.52,852,286,300,171
9.01,21.64,1029.80,22.06,0.17,-136.81,855,278,299,162
10.09,21.64,1028.90,22.06,0.16,-129.41,857,281,286,117
11.17,21.65,1029.30,22.06,0.16,-132.70,857,288,304,169
12.25,21.65,1029.00,22.07,0.16,-130.24,855,276,302,169
13.33,21.66,1029.00,22.06,0.16,-130.24,878,285,290,168
14.41,21.67,1029.10,22.07,0.16,-131.06,853,276,299,165
15.49,21.68,1029.80,22.07,0.17,-136.81,853,283,292,171
16.57,21.69,1029.60,22.07,0.16,-135.16,855,275,293,165
17.65,21.70,1029.10,22.07,0.16,-131.06,861,275,294,169
18.73,21.70,1029.40,22.07,0.16,-133.52,852,285,291,163
19.81,21.70,1029.20,22.07,0.16,-131.88,857,282,301,164
20.89,21.70,1029.60,22.07,0.16,-135.16,852,287,297,160
21.97,21.71,1029.30,22.07,0.16,-132.70,854,292,300,171
23.04,21.71,1029.80,22.07,0.17,-136.81,852,273,286,166
24.12,21.70,1029.30,22.07,0.16,-132.70,854,288,299,165
25.21,21.71,1028.90,22.07,0.16,-129.41,851,281,288,166
26.30,21.71,1029.90,22.07,0.17,-137.63,854,271,291,159
27.38,21.71,1029.20,22.08,0.16,-131.88,855,279,291,164
28.46,21.71,1028.80,22.08,0.16,-128.59,862,290,297,165
29.54,21.71,1029.50,22.08,0.16,-134.34,877,280,299,166
30.62,21.71,1029.30,22.07,0.16,-132.70,855,283,286,165
31.69,21.71,1028.90,22.08,0.16,-129.41,854,269,288,165
32.77,21.70,1029.10,22.07,0.16,-131.06,851,284,300,157
33.85,21.70,1029.70,22.07,0.17,-135.99,852,286,301,161
34.93,21.70,1029.20,22.07,0.16,-131.88,875,279,291,157
