# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m,analog_0,analog_1,analog_2,analog_3
0.00,ovf,36986596.00,-2273.69,366518.94,-282744.53,855,334,380,239
1.46,ovf,36986596.00,-2273.69,366518.94,-282744.53,853,336,353,215
2.54,ovf,36986596.00,-2273.69,366518.94,-282744.53,845,282,304,172
3.62,ovf,36986596.00,-2273.69,366518.94,-282744.53,848,267,292,165
4.69,ovf,36986596.00,-2273.69,366518.94,-282744.53,854,285,304,168
5.77,ovf,36986596.00,-2273.69,366518.94,-282744.53,853,281,288,160
6.85,ovf,36986596.00,-2273.69,366518.94,-282744.53,868,321,326,171
7.93,ovf,36986596.00,-2273.69,366518.94,-282744.53,843,283,303,153
9.01,ovf,36986596.00,-2273.69,366518.94,-282744.53,843,296,306,153
10.09,ovf,36986596.00,-2273.69,366518.94,-282744.53,842,285,288,151
11.17,ovf,-7944.20,-1096.38,-88.76,nan,852,567,577,144
12.24,ovf,-7943.40,-1096.35,-88.76,nan,827,215,268,151
13.32,ovf,-7943.30,-1096.34,-88.75,nan,829,287,272,149
14.40,ovf,-7943.60,-1096.33,-88.76,nan,799,431,273,142
15.48,ovf,-7943.00,-1096.32,-88.75,nan,810,418,270,145
16.55,585.95,-7943.20,-1096.31,-88.75,nan,799,369,269,143
17.63,775.46,-7943.10,-1096.31,-88.75,nan,801,358,239,133
18.71,775.41,-7942.80,-1096.29,-88.75,nan,856,304,319,155
19.79,775.36,-7942.50,-1096.30,-88.75,nan,867,251,268,155
20.87,775.31,-7942.50,-1096.28,-88.75,nan,848,332,301,134
21.94,775.31,-7942.90,-1096.29,-88.75,nan,849,347,341,172
23.02,775.26,-7942.30,-1096.27,-88.75,nan,869,262,207,143
24.10,775.26,-7942.60,-1096.28,-88.75,nan,857,271,281,148
25.18,775.26,-7942.40,-1096.26,-88.75,nan,846,339,301,137
26.26,775.26,-7942.30,-1096.26,-88.75,nan,857,263,270,103
27.34,775.21,-7942.60,-1096.26,-88.75,nan,847,191,221,159
28.42,775.16,-7942.30,-1096.24,-88.75,nan,845,329,316,155
29.49,775.16,-7942.10,-1096.24,-88.74,nan,861,314,301,148
30.57,775.11,-7941.40,-1096.22,-88.74,nan,852,301,311,158
31.65,775.11,-7941.70,-1096.22,-88.74,nan,848,292,299,158
32.73,775.11,-7942.00,-1096.22,-88.74,nan,845,307,311,157
33.81,775.11,-7942.10,-1096.22,-88.74,nan,847,292,304,167
34.88,775.11,-7940.10,-1096.13,-88.72,nan,867,349,349,172
35.97,775.11,-7941.70,-1096.20,-88.74,nan,870,278,303,158
37.04,775.06,-7941.30,-1096.16,-88.74,nan,848,379,367,199
38.12,775.06,-7941.60,-1096.16,-88.74,nan,848,301,294,161
39.20,775.01,-7941.10,-1096.14,-88.73,nan,855,280,279,153
40.28,775.06,-7940.20,-1096.12,-88.72,nan,846,563,330,279
41.35,775.01,-7940.20,-1096.10,-88.72,nan,845,556,373,333
42.43,775.01,-7940.10,-1096.08,-88.72,nan,855,368,308,230
43.51,775.01,-7940.20,-1096.07,-88.72,nan,848,159,240,153
44.59,774.96,-7939.80,-1096.05,-88.72,nan,845,493,428,176
45.67,774.96,-7938.70,-1096.01,-88.71,nan,849,324,319,147
46.75,774.96,-7928.20,-1095.57,-88.61,nan,848,397,438,212
47.83,774.96,-7928.70,-1095.58,-88.61,nan,846,279,287,138
48.91,774.96,-7928.30,-1095.56,-88.61,nan,847,234,258,154
50.00,775.01,-7927.70,-1095.52,-88.60,nan,866,319,379,309
51.07,775.01,-7927.00,-1095.48,-88.59,nan,852,305,301,156
52.15,775.06,-7928.20,-1095.54,-88.61,nan,848,348,338,170
53.23,775.06,-7931.30,-1095.67,-88.64,nan,854,535,542,316
54.31,775.11,-7935.40,-1095.83,-88.68,nan,849,251,848,122
55.39,775.21,-7935.50,-1095.82,-88.68,nan,846,268,842,123
56.47,775.31,-7935.70,-1095.80,-88.68,nan,850,274,803,118
57.54,775.36,-7934.90,-1095.77,-88.67,nan,853,284,843,121
58.62,775.36,-7934.50,-1095.75,-88.67,nan,854,275,830,125
59.70,775.36,-7934.40,-1095.73,-88.67,nan,850,274,677,120
60.78,775.41,-7934.00,-1095.71,-88.66,nan,848,273,583,133
61.86,775.36,-7933.80,-1095.67,-88.66,nan,846,274,478,133
62.94,775.36,-7933.40,-1095.66,-88.66,nan,850,287,399,144
64.02,775.36,-7933.60,-1095.65,-88.66,nan,845,273,362,151
65.09,775.31,-7933.00,-1095.62,-88.65,nan,849,271,332,150
66.17,775.36,-7932.70,-1095.61,-88.65,nan,848,279,314,156
67.25,775.36,-7932.90,-1095.60,-88.65,nan,845,276,293,146
68.33,775.36,-7932.70,-1095.58,-88.65,nan,853,270,235,144
69.41,775.36,-7932.00,-1095.56,-88.64,nan,848,279,283,150
70.48,775.36,-7930.20,-1095.46,-88.63,nan,865,287,159,156
71.56,775.31,-7927.30,-1095.35,-88.60,nan,848,253,254,101
72.64,775.31,-7926.30,-1095.29,-88.59,nan,844,264,292,153
73.72,775.36,-7926.60,-1095.28,-88.59,nan,867,305,312,151
74.80,775.31,-7928.60,-1095.37,-88.61,nan,846,324,367,353
75.88,775.36,-7930.90,-1095.45,-88.63,nan,849,272,781,204
76.96,775.36,-7930.40,-1095.45,-88.63,nan,853,254,782,125
78.03,775.41,-7930.30,-1095.41,-88.63,nan,851,267,598,134
