# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m
0.00,24.65,1039.90,25.04,0.27,-219.42
1.22,24.65,1039.80,25.04,0.27,-218.61
2.30,24.65,1039.50,25.05,0.26,-216.17
3.37,24.66,1039.50,25.04,0.26,-216.17
4.45,24.66,1039.50,25.05,0.26,-216.17
5.52,24.66,1039.40,25.05,0.26,-215.35
6.60,24.66,1039.40,25.05,0.26,-215.35
7.67,24.66,1038.90,25.05,0.26,-211.27
8.75,24.66,1039.50,25.05,0.26,-216.17
9.82,24.67,1039.40,25.06,0.26,-215.35
10.90,24.66,1039.70,25.06,0.26,-217.79
11.97,24.67,1039.30,25.06,0.26,-214.54
13.05,24.67,1039.20,25.06,0.26,-213.72
14.12,24.67,1039.70,25.06,0.26,-217.79
15.81,24.67,1039.30,25.06,0.26,-214.54
16.89,24.67,1039.90,25.06,0.27,-219.42
17.97,24.66,1040.00,25.06,0.27,-220.24
19.04,24.66,1039.20,25.07,0.26,-213.72
20.11,24.63,1039.50,25.07,0.26,-216.17
29.65,24.63,1039.20,25.07,0.26,-213.72
30.73,24.63,1039.10,25.07,0.26,-212.90
40.27,24.64,1039.40,25.07,0.26,-215.35
41.34,24.64,1039.70,25.08,0.26,-217.79
42.42,24.64,1039.70,25.08,0.26,-217.79
43.49,24.64,1039.10,25.08,0.26,-212.90
44.57,24.65,1039.20,25.08,0.26,-213.72
45.65,24.65,1039.30,25.08,0.26,-214.54
46.72,24.65,1039.90,25.08,0.27,-219.42
47.80,24.65,1039.00,25.08,0.26,-212.09
48.87,24.66,1039.30,25.08,0.26,-214.54
49.95,24.65,1038.60,25.08,0.25,-208.83
51.02,24.65,1039.80,25.08,0.27,-218.61
52.10,24.65,1039.70,25.08,0.26,-217.79
53.17,24.65,1039.50,25.09,0.26,-216.17
54.25,24.66,1039.90,25.08,0.27,-219.42
55.32,24.65,1039.40,25.09,0.26,-215.35
56.40,24.64,1039.00,25.08,0.26,-212.09
57.47,24.64,1039.50,25.08,0.26,-216.17
58.55,24.64,1038.90,25.09,0.26,-211.27
59.62,24.63,1039.50,25.09,0.26,-216.17
60.70,24.63,1039.20,25.09,0.26,-213.72
61.77,24.63,1039.50,25.09,0.26,-216.17
62.85,24.61,1039.50,25.08,0.26,-216.17
63.92,24.60,1039.40,25.09,0.26,-215.35
65.00,24.57,1038.90,25.08,0.26,-211.27
66.07,24.57,1039.20,25.09,0.26,-213.72
67.15,24.57,1039.40,25.08,0.26,-215.35
68.22,24.57,1039.30,25.08,0.26,-214.54
69.30,24.57,1039.90,25.08,0.27,-219.42
70.37,24.57,1039.60,25.08,0.26,-216.98
71.45,24.57,1039.50,25.08,0.26,-216.17
72.54,24.57,1038.80,25.08,0.26,-210.46
73.62,24.57,1039.20,25.08,0.26,-213.72
74.69,24.57,1039.20,25.08,0.26,-213.72
75.77,24.57,1039.20,25.08,0.26,-213.72
76.84,24.57,1039.50,25.08,0.26,-216.17
77.92,24.57,1039.30,25.08,0.26,-214.54
78.99,24.57,1039.50,25.08,0.26,-216.17
80.07,24.58,1039.20,25.08,0.26,-213.72
81.14,24.57,1039.30,25.08,0.26,-214.54
82.22,24.58,1039.40,25.08,0.26,-215.35
83.29,24.58,1039.40,25.08,0.26,-215.35
84.37,24.59,1039.40,25.08,0.26,-215.35
85.44,24.59,1040.30,25.08,0.27,-222.68
86.52,24.59,1038.90,25.08,0.26,-211.27
87.60,24.60,1039.20,25.08,0.26,-213.72
88.67,24.60,1039.50,25.08,0.26,-216.17
89.75,24.60,1039.10,25.08,0.26,-212.90
90.82,24.61,1039.20,25.08,0.26,-213.72
91.89,24.61,1039.50,25.08,0.26,-216.17
92.97,24.62,1039.40,25.08,0.26,-215.35
94.04,24.62,1039.60,25.08,0.26,-216.98
95.12,24.62,1040.10,25.09,0.27,-221.05
96.19,24.62,1039.70,25.09,0.26,-217.79
97.27,24.63,1039.70,25.09,0.26,-217.79
98.35,24.63,1039.70,25.09,0.26,-217.79
99.42,24.63,1039.50,25.09,0.26,-216.17
100.50,24.63,1039.70,25.09,0.26,-217.79
101.57,24.62,1040.00,25.08,0.27,-220.24
102.65,24.62,1039.90,25.09,0.27,-219.42
103.72,24.62,1039.60,25.09,0.26,-216.98
104.80,24.61,1039.70,25.09,0.26,-217.79
105.87,24.61,1039.40,25.09,0.26,-215.35
106.95,24.61,1039.40,25.09,0.26,-215.35
108.02,24.61,1039.60,25.09,0.26,-216.98
109.10,24.61,1039.80,25.09,0.27,-218.61
110.17,24.61,1039.60,25.09,0.26,-216.98
111.25,24.60,1039.60,25.09,0.26,-216.98
112.32,24.59,1039.90,25.09,0.27,-219.42
113.40,24.57,1039.30,25.09,0.26,-214.54
114.48,24.57,1039.20,25.08,0.26,-213.72
115.55,24.56,1039.60,25.09,0.26,-216.98
116.63,24.55,1039.30,25.09,0.26,-214.54
117.70,24.55,1039.10,25.09,0.26,-212.90
118.78,24.55,1039.00,25.08,0.26,-212.09
119.85,24.55,1039.30,25.08,0.26,-214.54
120.93,24.55,1039.50,25.08,0.26,-216.17
122.00,24.55,1039.00,25.08,0.26,-212.09
123.08,24.55,1039.50,25.08,0.26,-216.17
124.15,24.54,1039.60,25.08,0.26,-216.98
125.23,24.53,1039.80,25.08,0.27,-218.61
126.30,24.52,1039.60,25.08,0.26,-216.98
127.38,24.52,1039.30,25.08,0.26,-214.54
128.46,24.52,1039.20,25.07,0.26,-213.72
129.53,24.52,1039.20,25.08,0.26,-213.72
130.60,24.53,1039.10,25.07,0.26,-212.90
131.68,24.53,1039.50,25.07,0.26,-216.17
132.76,24.53,1039.30,25.07,0.26,-214.54
133.83,24.53,1039.00,25.07,0.26,-212.09
134.90,24.54,1039.30,25.07,0.26,-214.54
135.98,24.53,1039.10,25.07,0.26,-212.90
137.14,24.53,1039.00,25.06,0.26,-212.09
