# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m,analog_0,analog_1,analog_2,analog_3
0.00,22.27,1030.00,22.85,0.17,-138.45,854,269,289,163
1.40,22.27,1030.10,22.85,0.17,-139.27,856,288,299,159
2.48,22.27,1030.30,22.84,0.17,-140.91,854,287,294,165
3.56,22.27,1029.80,22.84,0.17,-136.81,878,287,298,166
4.64,22.28,1030.10,22.84,0.17,-139.27,852,288,297,160
5.72,22.26,1030.10,22.84,0.17,-139.27,855,279,285,159
6.80,22.26,1030.20,22.83,0.17,-140.09,856,283,292,155
7.87,22.26,1030.10,22.83,0.17,-139.27,854,284,299,160
8.95,22.26,1030.30,22.83,0.17,-140.91,855,279,290,165
10.04,22.27,1030.30,22.83,0.17,-140.91,854,270,297,160
11.11,22.27,1029.90,22.83,0.17,-137.63,855,279,294,166
12.19,22.27,1029.50,22.82,0.16,-134.34,852,286,231,154
13.27,22.27,1030.20,22.82,0.17,-140.09,855,284,306,169
14.35,22.27,1029.70,22.82,0.17,-135.99,858,284,296,154
15.43,22.28,1029.60,22.82,0.16,-135.16,877,274,286,151
16.51,22.27,1030.00,22.82,0.17,-138.45,853,273,290,112
17.59,22.26,1029.90,22.81,0.17,-137.63,855,281,292,163
18.67,22.26,1029.50,22.81,0.16,-134.34,857,281,291,156
19.76,22.26,1030.10,22.81,0.17,-139.27,877,279,286,164
20.84,22.25,1029.10,22.81,0.16,-131.06,853,298,252,156
21.92,22.24,1030.20,22.81,0.17,-140.09,853,286,238,159
23.00,22.24,1029.50,22.80,0.16,-134.34,854,281,285,160
24.08,22.24,1030.00,22.80,0.17,-138.45,857,275,281,160
25.16,22.25,1029.50,22.79,0.16,-134.34,853,294,240,156
26.24,22.25,1030.60,22.79,0.17,-143.37,857,276,300,165
27.32,22.24,1030.20,22.78,0.17,-140.09,857,278,297,156
28.40,22.24,1030.00,22.78,0.17,-138.45,856,286,232,158
29.48,22.24,1030.30,22.78,0.17,-140.91,854,272,295,163
30.56,22.24,1030.70,22.78,0.18,-144.20,876,287,290,112
31.64,22.24,1030.60,22.78,0.17,-143.37,852,286,299,161
32.72,22.24,1030.10,22.78,0.17,-139.27,855,282,301,158
33.80,22.24,1029.80,22.78,0.17,-136.81,852,289,299,158
34.88,22.24,1030.30,22.76,0.17,-140.91,878,243,254,108
35.96,22.24,1030.10,22.77,0.17,-139.27,853,278,298,165
37.04,22.24,1030.50,22.77,0.17,-142.55,856,283,285,160
38.12,22.25,1030.10,22.76,0.17,-139.27,857,278,284,161
39.20,22.25,1029.70,22.76,0.17,-135.99,855,272,230,105
40.28,22.25,1030.00,22.76,0.17,-138.45,852,286,298,163
41.36,22.25,1030.00,22.76,0.17,-138.45,853,275,294,114
42.44,22.25,1029.80,22.76,0.17,-136.81,878,267,287,158
43.52,22.26,1029.60,22.76,0.16,-135.16,879,283,292,162
44.60,22.26,1030.10,22.75,0.17,-139.27,855,280,297,161
45.68,22.25,1030.00,22.75,0.17,-138.45,852,286,232,155
46.76,22.25,1029.20,22.76,0.16,-131.88,856,295,299,160
47.84,22.24,1029.30,22.75,0.16,-132.70,878,305,307,156
48.92,22.24,1029.60,22.75,0.16,-135.16,876,276,296,165
50.00,22.24,1029.80,22.75,0.17,-136.81,856,283,294,165
51.08,22.24,1030.30,22.74,0.17,-140.91,853,276,295,157
52.91,22.24,1029.70,22.74,0.17,-135.99,854,268,299,160
54.33,22.24,1030.00,22.74,0.17,-138.45,879,279,293,156
55.74,22.24,1029.20,22.73,0.16,-131.88,857,278,296,115
57.16,22.24,1029.60,22.73,0.16,-135.16,877,284,302,115
58.24,22.24,1029.90,22.73,0.17,-137.63,854,268,297,154
59.32,22.24,1029.90,22.72,0.17,-137.63,856,274,223,151
60.40,22.24,1030.20,22.72,0.17,-140.09,854,282,296,164
61.48,22.23,1029.90,22.72,0.17,-137.63,861,277,287,158
62.57,22.24,1030.10,22.72,0.17,-139.27,855,278,296,161
63.65,22.24,1030.10,22.72,0.17,-139.27,851,277,285,156
64.74,22.23,1029.50,22.71,0.16,-134.34,852,269,287,152
65.82,22.22,1030.00,22.71,0.17,-138.45,852,282,300,162
66.89,22.22,1029.70,22.71,0.17,-135.99,860,283,283,156
67.97,22.21,1030.00,22.70,0.17,-138.45,876,289,298,166
69.06,22.20,1030.20,22.70,0.17,-140.09,860,287,290,113
70.14,22.19,1029.60,22.70,0.16,-135.16,855,278,228,155
71.22,22.18,1029.60,22.70,0.16,-135.16,877,283,290,163
72.30,22.18,1029.90,22.69,0.17,-137.63,863,276,293,154
73.38,22.17,1030.10,22.69,0.17,-139.27,855,270,298,162
74.46,22.16,1029.50,22.69,0.16,-134.34,853,278,299,156
75.54,22.16,1029.30,22.68,0.16,-132.70,854,278,289,155
76.62,22.14,1030.30,22.68,0.17,-140.91,855,277,287,151
77.70,22.14,1029.80,22.68,0.17,-136.81,878,274,297,160
78.78,22.13,1029.70,22.68,0.17,-135.99,852,280,282,160
79.86,22.13,1029.50,22.67,0.16,-134.34,879,272,297,154
80.94,22.12,1029.90,22.67,0.17,-137.63,875,279,287,158
82.02,22.12,1029.50,22.67,0.16,-134.34,852,280,294,161
83.10,22.12,1030.00,22.67,0.17,-138.45,855,279,284,162
84.18,22.11,1030.20,22.66,0.17,-140.09,879,279,287,153
85.26,22.11,1030.20,22.66,0.17,-140.09,854,267,281,151
86.34,22.09,1029.80,22.66,0.17,-136.81,856,282,228,151
87.42,22.09,1029.60,22.66,0.16,-135.16,852,269,281,153
88.50,22.08,1029.90,22.66,0.17,-137.63,853,280,297,160
89.58,22.08,1029.60,22.65,0.16,-135.16,856,285,288,151
90.66,22.07,1029.40,22.65,0.16,-133.52,855,272,280,161
91.74,22.06,1029.80,22.65,0.17,-136.81,860,285,288,163
92.82,22.06,1029.80,22.65,0.17,-136.81,860,286,229,152
93.90,22.06,1029.80,22.64,0.17,-136.81,855,274,228,143
94.98,22.05,1029.90,22.64,0.17,-137.63,857,271,288,160
96.06,22.04,1030.00,22.64,0.17,-138.45,856,281,291,158
97.14,22.04,1030.10,22.64,0.17,-139.27,859,275,290,151
