# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m,analog_0,analog_1,analog_2,analog_3
0.00,23.81,1039.10,25.26,0.26,-212.90,764,278,283,153
1.34,23.80,1039.50,25.26,0.26,-216.17,763,273,291,152
2.42,23.79,1039.10,25.26,0.26,-212.90,785,270,278,155
3.50,23.79,1039.20,25.25,0.26,-213.72,785,272,294,158
4.58,23.77,1039.70,25.25,0.26,-217.79,789,268,292,158
5.66,23.77,1039.80,25.24,0.27,-218.61,767,273,282,154
6.73,23.76,1039.40,25.24,0.26,-215.35,766,265,280,145
7.81,23.75,1039.00,25.23,0.26,-212.09,763,273,285,150
8.90,23.76,1039.80,25.23,0.27,-218.61,767,268,292,111
9.98,23.76,1039.80,25.22,0.27,-218.61,785,274,294,157
11.06,23.76,1039.20,25.22,0.26,-213.72,767,266,291,150
12.14,23.76,1039.20,25.22,0.26,-213.72,767,272,294,109
13.22,23.76,1039.40,25.21,0.26,-215.35,764,276,294,159
14.30,23.77,1039.20,25.21,0.26,-213.72,787,273,288,146
15.38,23.76,1039.70,25.20,0.26,-217.79,778,279,292,147
16.45,23.76,1039.20,25.20,0.26,-213.72,769,274,224,149
17.53,23.76,1039.60,25.20,0.26,-216.98,768,278,295,148
18.61,23.76,1039.20,25.20,0.26,-213.72,766,277,290,107
19.69,23.76,1039.00,25.19,0.26,-212.09,764,280,297,156
20.77,23.77,1039.30,25.19,0.26,-214.54,767,265,278,145
21.85,23.77,1039.10,25.19,0.26,-212.90,767,275,287,148
22.92,23.76,1039.20,25.19,0.26,-213.72,765,280,302,156
24.00,23.76,1039.50,25.19,0.26,-216.17,788,284,304,161
25.08,23.74,1039.80,25.19,0.27,-218.61,764,206,226,158
26.16,23.73,1039.30,25.19,0.26,-214.54,767,264,285,150
27.24,23.72,1039.40,25.19,0.26,-215.35,767,267,281,147
28.31,23.71,1039.20,25.18,0.26,-213.72,764,262,293,148
29.40,23.71,1039.10,25.18,0.26,-212.90,765,268,295,152
30.47,23.71,1039.60,25.18,0.26,-216.98,772,273,285,151
31.55,23.71,1039.30,25.18,0.26,-214.54,785,267,285,148
32.63,23.68,1039.80,25.18,0.27,-218.61,765,266,293,155
33.71,23.65,1039.70,25.17,0.26,-217.79,772,277,288,153
34.78,23.65,1039.40,25.18,0.26,-215.35,769,272,227,145
35.86,23.64,1039.50,25.18,0.26,-216.17,775,269,288,159
36.94,23.62,1038.90,25.18,0.26,-211.27,766,279,283,154
38.02,23.61,1039.20,25.18,0.26,-213.72,772,277,286,106
39.10,23.60,1038.70,25.18,0.25,-209.64,768,281,291,153
40.18,23.59,1039.40,25.18,0.26,-215.35,763,272,281,147
41.26,23.59,1039.10,25.17,0.26,-212.90,772,278,294,157
42.33,23.59,1039.40,25.17,0.26,-215.35,767,272,296,156
43.41,23.59,1039.20,25.17,0.26,-213.72,787,278,296,110
44.49,23.59,1039.50,25.17,0.26,-216.17,769,268,291,149
45.57,23.59,1039.30,25.17,0.26,-214.54,785,274,294,156
46.65,23.60,1039.90,25.17,0.27,-219.42,787,277,281,151
47.72,23.60,1039.00,25.17,0.26,-212.09,770,277,291,155
48.81,23.61,1039.40,25.17,0.26,-215.35,783,278,295,154
49.88,23.61,1039.10,25.17,0.26,-212.90,771,271,286,156
50.96,23.62,1039.60,25.17,0.26,-216.98,766,277,284,156
52.04,23.62,1039.60,25.17,0.26,-216.98,767,270,292,159
53.12,23.61,1039.00,25.17,0.26,-212.09,763,272,292,158
54.19,23.61,1039.10,25.16,0.26,-212.90,766,285,289,158
55.27,23.60,1039.30,25.17,0.26,-214.54,764,282,300,160
56.35,23.60,1039.80,25.17,0.27,-218.61,766,277,282,107
57.43,23.59,1039.60,25.16,0.26,-216.98,767,272,279,146
58.51,23.58,1039.50,25.16,0.26,-216.17,764,278,295,155
59.59,23.56,1039.50,25.16,0.26,-216.17,772,278,298,158
60.67,23.53,1039.40,25.16,0.26,-215.35,766,283,292,158
61.74,23.52,1039.50,25.15,0.26,-216.17,785,274,226,148
62.82,23.50,1039.70,25.15,0.26,-217.79,763,265,286,156
63.90,23.49,1039.10,25.15,0.26,-212.90,785,270,296,160
64.98,23.49,1038.80,25.14,0.26,-210.46,763,271,288,157
66.06,23.47,1039.60,25.14,0.26,-216.98,767,266,224,148
67.13,23.47,1039.30,25.13,0.26,-214.54,764,270,298,162
68.21,23.46,1039.30,25.13,0.26,-214.54,784,282,227,139
69.29,23.46,1038.70,25.12,0.25,-209.64,767,260,286,156
70.37,23.46,1039.20,25.11,0.26,-213.72,772,274,225,137
71.45,23.44,1039.20,25.10,0.26,-213.72,766,265,275,141
72.53,23.42,1039.10,25.09,0.26,-212.90,786,270,282,159
73.61,23.42,1039.40,25.08,0.26,-215.35,763,894,941,946
74.69,23.42,1039.40,25.08,0.26,-215.35,764,267,279,158
75.77,23.43,1039.10,25.07,0.26,-212.90,769,283,291,169
76.85,23.45,1039.40,25.06,0.26,-215.35,765,273,328,848
77.93,23.47,1040.20,25.05,0.27,-221.87,767,260,281,182
79.01,23.50,1038.90,25.05,0.26,-211.27,767,271,279,169
80.09,23.53,1039.60,25.04,0.26,-216.98,763,275,290,173
81.17,23.59,1039.80,25.04,0.27,-218.61,770,249,366,359
82.24,23.64,1039.50,25.03,0.26,-216.17,767,247,293,166
83.32,23.69,1039.10,25.03,0.26,-212.90,765,273,299,373
84.40,23.74,1039.30,25.02,0.26,-214.54,767,749,929,911
85.48,23.77,1039.80,25.02,0.27,-218.61,766,810,829,812
86.56,23.81,1039.20,25.02,0.26,-213.72,774,549,522,518
87.63,23.84,1039.00,25.02,0.26,-212.09,772,302,649,640
88.71,23.88,1039.10,25.02,0.26,-212.90,765,267,264,152
89.79,23.88,1039.20,25.02,0.26,-213.72,772,279,289,154
90.87,23.87,1039.80,25.02,0.27,-218.61,763,275,286,157
91.95,23.87,1039.40,25.02,0.26,-215.35,764,286,231,142
93.03,23.86,1039.30,25.02,0.26,-214.54,788,278,295,154
94.11,23.85,1039.40,25.01,0.26,-215.35,767,272,292,159
95.18,23.86,1039.20,25.01,0.26,-213.72,765,273,287,154
96.26,23.85,1039.30,25.01,0.26,-214.54,787,263,286,108
97.34,23.85,1039.50,25.01,0.26,-216.17,764,276,295,153
98.42,23.85,1038.90,25.00,0.26,-211.27,785,270,293,149
99.50,23.85,1039.10,25.00,0.26,-212.90,765,275,284,156
100.58,23.85,1039.60,25.00,0.26,-216.98,773,272,292,155
101.65,23.85,1039.70,24.99,0.26,-217.79,785,276,299,147
102.73,23.86,1039.20,24.99,0.26,-213.72,766,262,276,157
103.81,23.87,1038.50,24.98,0.25,-208.01,772,264,291,153
104.89,23.87,1039.40,24.98,0.26,-215.35,785,275,287,146
105.97,23.86,1038.90,24.98,0.26,-211.27,775,269,288,145
107.04,23.84,1039.70,24.98,0.26,-217.79,764,265,286,156
108.12,23.84,1039.20,24.97,0.26,-213.72,767,268,290,154
109.29,23.84,1039.50,24.97,0.26,-216.17,765,273,287,150
