# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m
0.00,24.54,1039.20,25.05,0.26,-213.72
1.30,24.53,1039.30,25.05,0.26,-214.54
2.37,24.54,1039.10,25.05,0.26,-212.90
3.45,24.54,1039.30,25.05,0.26,-214.54
4.53,24.54,1039.30,25.05,0.26,-214.54
5.60,24.54,1039.00,25.05,0.26,-212.09
6.68,24.54,1039.40,25.05,0.26,-215.35
7.75,24.54,1039.20,25.05,0.26,-213.72
8.82,24.54,1039.50,25.05,0.26,-216.17
9.90,24.54,1038.70,25.05,0.25,-209.64
10.98,24.54,1039.30,25.05,0.26,-214.54
12.05,24.54,1038.70,25.05,0.25,-209.64
13.13,24.54,1039.20,25.04,0.26,-213.72
14.20,24.54,1038.90,25.05,0.26,-211.27
15.28,24.54,1039.30,25.04,0.26,-214.54
16.35,24.54,1038.70,25.04,0.25,-209.64
17.43,24.52,1039.70,25.04,0.26,-217.79
18.50,24.52,1038.90,25.04,0.26,-211.27
19.58,24.52,1039.10,25.04,0.26,-212.90
20.65,24.51,1038.60,25.04,0.25,-208.83
21.73,24.51,1039.20,25.04,0.26,-213.72
22.80,24.48,1039.20,25.04,0.26,-213.72
23.88,24.47,1039.10,25.04,0.26,-212.90
24.95,24.47,1039.30,25.04,0.26,-214.54
26.03,24.46,1039.10,25.04,0.26,-212.90
27.10,24.45,1039.40,25.03,0.26,-215.35
28.18,24.41,1039.40,25.03,0.26,-215.35
29.26,24.36,1038.70,25.03,0.25,-209.64
30.33,24.36,1038.60,25.03,0.25,-208.83
31.41,24.35,1039.30,25.02,0.26,-214.54
32.48,24.35,1039.20,25.02,0.26,-213.72
33.56,24.35,1039.60,25.02,0.26,-216.98
34.63,24.39,1039.00,25.00,0.26,-212.09
44.19,24.40,1039.40,25.00,0.26,-215.35
45.27,24.40,1040.00,25.00,0.27,-220.24
46.35,24.40,1039.20,25.00,0.26,-213.72
47.42,24.41,1038.80,25.00,0.26,-210.46
48.49,24.41,1038.90,25.00,0.26,-211.27
49.57,24.41,1039.20,25.00,0.26,-213.72
50.65,24.42,1038.90,25.00,0.26,-211.27
51.72,24.43,1038.90,25.00,0.26,-211.27
52.80,24.42,1039.10,25.00,0.26,-212.90
53.87,24.41,1039.40,25.00,0.26,-215.35
54.95,24.42,1039.30,25.00,0.26,-214.54
56.02,24.43,1039.30,25.00,0.26,-214.54
57.10,24.43,1039.20,25.00,0.26,-213.72
58.17,24.44,1038.70,25.00,0.25,-209.64
59.25,24.44,1039.20,25.00,0.26,-213.72
60.32,24.45,1039.60,25.00,0.26,-216.98
61.40,24.45,1038.50,25.00,0.25,-208.01
62.47,24.46,1039.20,25.00,0.26,-213.72
63.55,24.46,1038.90,25.00,0.26,-211.27
64.63,24.46,1038.50,25.00,0.25,-208.01
65.70,24.46,1038.90,25.00,0.26,-211.27
66.78,24.46,1039.50,25.00,0.26,-216.17
67.85,24.47,1038.60,25.00,0.25,-208.83
68.93,24.47,1039.00,25.00,0.26,-212.09
70.00,24.48,1039.00,25.00,0.26,-212.09
71.08,24.48,1039.10,25.00,0.26,-212.90
72.15,24.48,1039.10,25.00,0.26,-212.90
73.23,24.48,1039.00,25.00,0.26,-212.09
74.32,24.49,1039.20,25.00,0.26,-213.72
75.39,24.49,1039.30,25.00,0.26,-214.54
76.54,24.50,1038.90,25.00,0.26,-211.27
77.62,24.50,1039.10,25.01,0.26,-212.90
