# seconds,temp_c,pressure_mbar,temp_from_pressure_c,depth_m,altitude_m,analog_0,analog_1,analog_2,analog_3
0.00,24.16,1038.80,24.63,0.26,-210.46,764,273,289,146
1.24,24.17,1038.60,24.63,0.25,-208.83,767,268,292,154
2.32,24.17,1039.10,24.64,0.26,-212.90,763,269,282,155
3.40,24.17,1038.60,24.64,0.25,-208.83,767,263,289,152
4.47,24.16,1039.00,24.64,0.26,-212.09,787,267,288,156
5.55,24.16,1038.80,24.65,0.26,-210.46,764,273,281,147
6.63,24.17,1039.20,24.64,0.26,-213.72,767,265,289,147
7.71,24.16,1039.30,24.65,0.26,-214.54,769,263,277,149
8.79,24.16,1038.90,24.65,0.26,-211.27,763,270,291,150
9.87,24.15,1039.40,24.65,0.26,-215.35,775,264,277,148
10.94,24.15,1039.20,24.65,0.26,-213.72,766,262,290,155
12.02,24.14,1039.00,24.65,0.26,-212.09,767,268,290,155
13.18,24.14,1038.50,24.65,0.25,-208.01,766,260,287,148
14.26,24.14,1039.20,24.65,0.26,-213.72,768,274,293,149
15.34,24.14,1039.20,24.66,0.26,-213.72,766,277,291,144
16.41,24.13,1038.60,24.65,0.25,-208.83,767,267,277,150
17.49,24.13,1039.30,24.66,0.26,-214.54,764,272,292,156
18.57,24.13,1038.80,24.66,0.26,-210.46,766,275,282,144
19.65,24.13,1039.10,24.66,0.26,-212.90,787,267,286,152
20.73,24.14,1039.20,24.66,0.26,-213.72,763,269,288,154
21.81,24.14,1039.00,24.66,0.26,-212.09,769,268,293,151
22.88,24.14,1039.40,24.66,0.26,-215.35,764,260,290,154
23.96,24.14,1039.20,24.66,0.26,-213.72,785,275,282,153
25.04,24.14,1039.10,24.66,0.26,-212.90,786,278,297,147
26.12,24.14,1038.90,24.66,0.26,-211.27,772,275,283,144
27.20,24.15,1038.80,24.66,0.26,-210.46,763,269,286,156
28.27,24.15,1039.50,24.66,0.26,-216.17,787,273,284,157
29.35,24.15,1039.00,24.67,0.26,-212.09,765,269,280,153
30.43,24.16,1039.20,24.66,0.26,-213.72,765,299,310,108
31.51,24.17,1038.90,24.67,0.26,-211.27,788,274,290,155
32.59,24.17,1039.00,24.67,0.26,-212.09,766,270,291,146
33.67,24.19,1039.10,24.67,0.26,-212.90,765,268,290,105
34.74,24.19,1038.90,24.67,0.26,-211.27,766,261,281,148
35.82,24.19,1038.60,24.67,0.25,-208.83,766,278,293,147
36.90,24.19,1038.60,24.67,0.25,-208.83,765,263,284,155
37.98,24.19,1038.70,24.68,0.25,-209.64,787,268,291,150
39.06,24.19,1038.40,24.68,0.25,-207.20,787,260,281,151
40.14,24.19,1039.30,24.69,0.26,-214.54,787,269,280,153
41.22,24.19,1039.00,24.68,0.26,-212.09,770,275,287,146
42.29,24.19,1038.90,24.69,0.26,-211.27,763,269,280,155
43.37,24.19,1038.90,24.69,0.26,-211.27,766,275,282,153
44.45,24.20,1039.50,24.69,0.26,-216.17,766,274,293,147
45.53,24.20,1038.90,24.69,0.26,-211.27,764,251,278,156
46.60,24.21,1039.10,24.70,0.26,-212.90,763,304,305,144
47.68,24.21,1039.20,24.70,0.26,-213.72,766,260,287,152
48.76,24.21,1039.00,24.70,0.26,-212.09,785,263,283,151
49.84,24.22,1039.20,24.70,0.26,-213.72,766,252,283,151
50.92,24.22,1039.20,24.70,0.26,-213.72,766,288,301,147
52.00,24.23,1039.10,24.71,0.26,-212.90,767,279,297,149
53.07,24.23,1039.30,24.71,0.26,-214.54,764,269,275,152
54.15,24.23,1038.70,24.71,0.25,-209.64,785,272,294,107
55.23,24.23,1039.20,24.71,0.26,-213.72,763,269,288,155
56.31,24.24,1038.30,24.71,0.25,-206.38,776,272,294,106
57.38,24.25,1038.90,24.71,0.26,-211.27,763,272,292,159
58.46,24.25,1038.90,24.71,0.26,-211.27,766,273,288,159
59.54,24.25,1038.80,24.72,0.26,-210.46,765,270,289,149
60.62,24.26,1039.50,24.72,0.26,-216.17,765,265,286,156
61.71,24.26,1038.90,24.72,0.26,-211.27,766,273,279,147
62.79,24.27,1039.00,24.72,0.26,-212.09,763,271,281,146
63.87,24.27,1038.50,24.73,0.25,-208.01,773,264,290,105
64.95,24.28,1039.20,24.73,0.26,-213.72,769,267,284,144
66.02,24.28,1038.90,24.73,0.26,-211.27,788,277,291,148
67.10,24.28,1038.80,24.73,0.26,-210.46,765,267,281,152
68.18,24.28,1039.00,24.74,0.26,-212.09,767,268,296,155
69.26,24.28,1038.30,24.74,0.25,-206.38,763,269,282,153
70.34,24.28,1039.10,24.74,0.26,-212.90,767,273,288,106
71.42,24.28,1038.70,24.74,0.25,-209.64,773,264,288,155
72.49,24.28,1039.30,24.74,0.26,-214.54,766,261,280,152
73.57,24.29,1038.70,24.74,0.25,-209.64,766,259,284,106
74.65,24.29,1039.20,24.75,0.26,-213.72,763,270,222,97
75.73,24.30,1039.10,24.75,0.26,-212.90,772,279,292,106
76.81,24.30,1038.10,24.75,0.25,-204.75,767,259,273,146
77.88,24.30,1039.00,24.75,0.26,-212.09,767,287,297,149
78.96,24.30,1039.10,24.76,0.26,-212.90,765,269,285,151
80.04,24.31,1038.40,24.76,0.25,-207.20,767,259,281,146
81.12,24.31,1038.90,24.76,0.26,-211.27,787,268,286,143
82.20,24.32,1039.00,24.76,0.26,-212.09,764,271,280,154
83.28,24.32,1038.70,24.76,0.25,-209.64,767,263,284,155
84.35,24.32,1038.70,24.77,0.25,-209.64,764,278,291,150
85.43,24.32,1038.80,24.77,0.26,-210.46,766,275,281,149
86.51,24.33,1039.10,24.77,0.26,-212.90,788,281,283,149
87.59,24.33,1038.50,24.77,0.25,-208.01,763,258,288,142
88.67,24.33,1038.80,24.77,0.26,-210.46,788,251,262,141
89.75,24.33,1038.80,24.78,0.26,-210.46,764,282,302,106
90.82,24.34,1038.90,24.78,0.26,-211.27,763,271,282,153
91.90,24.34,1038.80,24.78,0.26,-210.46,762,264,288,143
92.98,24.34,1038.60,24.78,0.25,-208.83,766,262,292,153
94.06,24.34,1039.20,24.79,0.26,-213.72,763,278,294,144
95.13,24.34,1038.30,24.79,0.25,-206.38,769,274,281,144
96.21,24.34,1039.10,24.79,0.26,-212.90,766,273,290,154
97.29,24.34,1039.20,24.79,0.26,-213.72,769,277,286,142
98.37,24.34,1038.90,24.79,0.26,-211.27,764,273,288,144
99.45,24.35,1038.90,24.79,0.26,-211.27,766,261,283,147
100.53,24.35,1038.50,24.79,0.25,-208.01,766,273,286,104
101.60,24.36,1038.80,24.80,0.26,-210.46,766,260,225,145
102.68,24.38,1038.60,24.80,0.25,-208.83,768,287,288,156
103.76,24.39,1038.80,24.80,0.26,-210.46,763,268,289,150
104.84,24.39,1038.60,24.80,0.25,-208.83,785,262,217,138
105.92,24.40,1038.60,24.81,0.25,-208.83,764,278,283,143
106.99,24.40,1038.90,24.81,0.26,-211.27,783,267,283,151
108.07,24.41,1038.40,24.81,0.25,-207.20,764,261,277,152
109.15,24.42,1039.00,24.81,0.26,-212.09,772,278,294,145
110.23,24.43,1038.80,24.82,0.26,-210.46,783,275,298,153
111.31,24.44,1038.60,24.82,0.25,-208.83,764,264,290,157
112.38,24.45,1038.60,24.82,0.25,-208.83,766,272,222,149
113.46,24.46,1038.60,24.83,0.25,-208.83,786,280,294,105
114.54,24.46,1038.30,24.83,0.25,-206.38,763,262,286,144
115.62,24.47,1039.00,24.83,0.26,-212.09,764,273,279,145
116.69,24.49,1038.80,24.84,0.26,-210.46,784,273,290,156
117.78,24.49,1039.00,24.84,0.26,-212.09,767,264,293,146
118.85,24.50,1038.70,24.84,0.25,-209.64,767,249,268,156
119.93,24.51,1038.40,24.85,0.25,-207.20,767,271,287,150
121.01,24.51,1038.50,24.85,0.25,-208.01,765,271,277,150
122.09,24.51,1038.80,24.85,0.26,-210.46,763,268,293,149
123.16,24.53,1038.20,24.86,0.25,-205.56,767,269,282,153
124.24,24.53,1038.40,24.86,0.25,-207.20,771,237,252,159
125.32,24.53,1038.40,24.87,0.25,-207.20,771,263,281,147
126.41,24.54,1038.60,24.87,0.25,-208.83,767,269,279,144
127.49,24.55,1038.60,24.88,0.25,-208.83,765,262,221,137
128.57,24.56,1038.80,24.88,0.26,-210.46,706,273,287,150
129.65,24.56,1038.90,24.89,0.26,-211.27,705,263,277,143
130.73,24.57,1038.70,24.89,0.25,-209.64,768,262,285,149
131.81,24.57,1038.90,24.89,0.26,-211.27,710,273,280,155
132.88,24.57,1039.00,24.90,0.26,-212.09,1023,312,281,145
133.96,24.58,1039.00,24.91,0.26,-212.09,755,254,291,153
135.04,24.59,1039.40,24.91,0.26,-215.35,699,269,279,150
136.12,24.59,1038.80,24.91,0.26,-210.46,783,272,291,151
137.20,24.60,1038.90,24.92,0.26,-211.27,787,267,274,139
